"","study_id","SOILTYPE"
"523","10.1016/j.ecoenv.2014.09.019"," zinc-contaminated soils"
"524","10.1007/s00572-014-0613-4",NA
"525",NA,"contaminated soil played"
"526",NA," contaminated soil"
"527",NA,NA
"528","10.1007/s10646-014-1368-6",NA
"529","10.5423/PPJ.OA.10.2012.0156",NA
"530","10.1016/j.jes.2014.07.013","high heavy metal"
"531","10.1007/s00442-014-3091-7",NA
"532","10.1007/s10646-014-1331-6",NA
"533","10.1007/s00572-014-0600-9","saline soil"
"534","10.1007/s00572-014-0600-9"," saline soils"
"535","10.1007/s11356-014-3396-4","saline-alkali soil"
"536","10.1007/s11356-014-3396-4"," moderately contaminated soil"
"537","10.1007/s00572-014-0596-1","flooded soils"
"538","10.1371/journal.pone.0101487","calcareous soil"
"539","10.1016/j.scitotenv.2014.06.045",NA
"540","10.1080/15226514.2013.856852","as-contaminated soils"
"541","10.1080/15226514.2013.856852"," contaminated soils"
"542","10.1080/15226514.2013.856852"," as-contaminated soil"
"543","10.1890/13-0025.1",NA
"544","10.1111/nph.12876",NA
"545","10.1007/s11356-014-2938-0","copper-contaminated soils"
"546","10.1007/s00284-014-0589-5",NA
"547","10.1007/s00572-014-0582-7",NA
"548","10.1038/srep04671","cd-contaminated soil"
"549","10.1371/journal.pone.0093967",NA
"550",NA,NA
"551","10.1371/journal.pone.0090738",NA
"552","10.1016/j.jplph.2013.10.023",NA
"553","10.1007/s11356-014-2696-z","heavy metal-contaminated"
"554","10.1007/s11356-014-2696-z"," contaminated soil"
"555","10.1007/s11356-014-2696-z"," heavy metal-polluted"
"556","10.1007/s10646-014-1200-3","impacted soils"
"557","10.1007/s10646-014-1200-3"," petroleum-contaminated soil"
"558","10.1007/s10646-014-1200-3"," contaminated soil"
"559","10.1007/s00572-014-0555-x","contaminant fungi"
