DOI,PMID
10.1007/s00572-001-0140-y,11968942
10.3732/ajb.89.2.337,21669742
10.1046/j.0028-646X.2001.00265.x,33862988
10.1078/0944-5013-00095,11572454
10.1007/s005720100122,24595434
10.1093/jexbot/51.347.1117,10948239
10.1046/j.1469-8137.1999.00471.x,33862896
10.1007/s004420050685,28307674
10.1007/s005720050190,24578052
10.1046/j.1469-8137.1997.00786.x,33863100
10.1016/0269-7491(95)00081-x,15091411
10.1016/0269-7491(95)93444-5,15091543
10.1016/0269-7491(94)90188-0,15091634
10.1104/pp.101.3.1063,12231758
10.1007/BF00317489,28312717
10.1007/BF01225356,24429891
10.1111/j.1469-8137.1990.tb00376.x,33874294
