"","study_id","ECOREGION"
"586","10.1111/j.1365-2672.2007.03296.x",NA
"587","10.1016/j.wasman.2007.05.008",NA
"588","10.1016/j.envpol.2007.04.005",NA
"589","10.1016/j.envpol.2007.04.002",NA
"590","10.1016/j.jenvrad.2007.04.001",NA
"591","10.1007/s10646-007-0149-x",NA
"592","10.2134/jeq2006.0260",NA
"593","10.1016/j.envpol.2007.03.015",NA
"594","10.1016/j.chemosphere.2007.02.068",NA
"595","10.3923/pjbs.2007.1491.1495",NA
"596","10.1007/s00248-007-9239-9",NA
"597",NA,NA
"598","10.1055/s-2006-955946",NA
"599",NA,NA
"600","10.1007/s00248-006-9078-0",NA
"601","10.1016/j.envpol.2006.08.005",NA
"602","10.1016/j.scitotenv.2006.07.008",NA
"603","10.1016/j.envpol.2006.06.029",NA
"604","10.1016/j.chemosphere.2006.07.007",NA
"605","10.1016/j.jhazmat.2006.05.012",NA
"606","10.2134/jeq2005.0271",NA
"607","10.1128/aem.63.11.4408-4412.1997",NA
"608","10.1007/s10653-005-9020-2",NA
"609","10.1016/j.chemosphere.2006.01.034",NA
"610","10.1111/j.1365-2672.2005.02804.x",NA
"611","10.1055/s-2005-872972",NA
"612","10.1007/s00572-005-0022-9","tropical pine"
"613","10.1007/s00572-005-0020-y",NA
"614","10.1111/j.1469-8137.2005.01490.x",NA
"615","10.1007/s00572-005-0018-5","subtropical site"
"616","10.1007/s00572-005-0018-5"," subtropical rain"
"617","10.1007/s00572-005-0018-5"," a tropical site"
"618","10.1017/s0953756205002832",NA
"619","10.1007/s00572-005-0003-z",NA
"620","10.1016/j.chemosphere.2005.01.038",NA
"621","10.1016/j.envpol.2005.05.009",NA
"622","10.1016/j.envpol.2005.05.005",NA
"623","10.1016/j.envint.2005.05.041",NA
"624","10.1016/j.chemosphere.2005.01.029","denticulate var k.striata"
"625","10.1016/j.jbiotec.2004.12.009",NA
"626","10.1016/j.scitotenv.2004.07.015",NA
